,FANG
% Below High,0.1162
% Held by Institutions,0.9484999999999999
52-Wk Range,['95.02 - 168.95']
Annual Dividend $,3.0
Annual Dividend %,0.020099999999999996
Ask,149.94
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.0
Bid,148.57
Bid Size,200.0
Closing Price,149.32
Day Change $,-0.67
Day Change %,-0.0045000000000000005
Day High,151.89
Day Low,149.08
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",24.68
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.48100000000000004
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,26.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.05
Prev Close,149.99
Shares Outstanding,176.0M
Short Interest,0.0701
Today's Open,151.3
Volume,984081.0
Volume 10-day Avg,2719890.0
Volume Past Day,(Light)
