,FANG
Price/Earnings (TTM),6.05082
Price/Sales (TTM),2.72757
Price/Book (MRQ),1.89448
Price/Cash Flow (TTM),4.46637
5yr Low,14.55
5yr High,168.95
5yr Avg Return,0.1748
EPS Growth 5yr,
Revenue Growth 5yr,0.6675686000000001
Dividend Growth 5yr,
Short Int Current Month,12273997.0
Short Int Prev Month,9711613.0
Short Int Pct of Float,0.07007590000000001
Days to Cover,4.9159
Float,175.167
Shares Outstanding,175.9986
Institutions Holding Shares,1159.0
% Held by Institutions,0.948485
FCF Growth 5yr,0.7493048066998993
