,FANG
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,1.3627450980392162
Growth 1yr High Est,1.0425126903553297
Growth 1yr Consensus Est,1.202628894197273
Growth 2yr Low Est,0.5886339598079897
Growth 2yr High Est,0.5142665968086062
Growth 2yr Consensus Est,0.551450278308298
Growth 5yr Low Est,1.6045438519932052
Growth 5yr High Est,1.5278154961383
Growth 5yr Consensus Est,1.5661796740657525
Growth 5yr Actual/Est,0.8487943812011725
Growth 3yr Historic,0.5414115307207412
