,RICK
Price/Earnings (TTM),22.13321
Price/Sales (TTM),3.26983
Price/Book (MRQ),3.55278
Price/Cash Flow (TTM),17.31146
5yr Low,6.52
5yr High,94.33
5yr Avg Return,0.27203333333333335
EPS Growth 5yr,0.2482518
Revenue Growth 5yr,0.076825
Dividend Growth 5yr,0.12195510000000001
Short Int Current Month,245264.0
Short Int Prev Month,295654.0
Short Int Pct of Float,0.0302698
Days to Cover,5.09343
Float,8.10392
Shares Outstanding,9.24395
Institutions Holding Shares,136.0
% Held by Institutions,0.42325
FCF Growth 5yr,0.5068008231967317
