,RICK
% Below High,0.0492
% Held by Institutions,0.4233
52-Wk Range,['46.49 - 94.33']
Annual Dividend $,0.2
Annual Dividend %,0.0023
Ask,89.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,89.36
Bid Size,100.0
Day Change $,0.8399
Day Change %,0.0095
Day High,89.97
Day Low,88.85
Dividend Pay Date,2022-09-27 00:00:00
"EPS (TTM, GAAP)",4.01
Ex-dividend,2022-09-12 00:00:00
Ex-dividend Date,09/12/22
Historical Volatility,0.493
Last (size),100.0
Last (time),12:37p ET 11/28/22
Market Cap,828.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.13
Prev Close,88.85
Price,89.69
Shares Outstanding,9.2M
Short Interest,0.030299999999999997
Today's Open,88.85
Volume Past Day,(Below Average)
