,AEO
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.6834862385321101
Growth 1yr High Est,-0.57847533632287
Growth 1yr Consensus Est,-0.63098078742749
Growth 2yr Low Est,-0.24754022071533044
Growth 2yr High Est,-0.08711000858696677
Growth 2yr Consensus Est,-0.1673251146511486
Growth 5yr Low Est,-0.0004824391247884585
Growth 5yr High Est,0.08313418489570581
Growth 5yr Consensus Est,0.04132587288545869
Growth 5yr Actual/Est,13.117318868216293
Growth 3yr Historic,13.194256756756756
