,AVTR
Price/Earnings (TTM),24.06609
Price/Sales (TTM),1.89573
Price/Book (MRQ),3.14824
Price/Cash Flow (TTM),14.35019
5yr Low,6.66
5yr High,44.37
5yr Avg Return,0.18882499999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.6060155
Dividend Growth 5yr,
Short Int Current Month,8691513.0
Short Int Prev Month,8997332.0
Short Int Pct of Float,0.0132595
Days to Cover,1.31796
Float,656.3779
Shares Outstanding,674.2044
Institutions Holding Shares,638.0
% Held by Institutions,0.923912
FCF Growth 5yr,0.44966127719627247
