,AVTR
% Above Low,0.19710000000000003
% Held by Institutions,0.9239
52-Wk Range,['17.91 - 42.48']
Annual Dividend $,
Annual Dividend %,
Ask,21.62
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.4
Bid,20.0
Bid Size,500.0
Closing Price,21.44
Day Change $,-0.09
Day Change %,-0.0042
Day High,21.78
Day Low,21.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.89
Ex-dividend Date,No dividend
Historical Volatility,0.395
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,14.5B
"P/E Ratio (TTM, GAAP)",24.07
Prev Close,21.53
Shares Outstanding,674.2M
Short Interest,0.013300000000000001
Today's Open,21.5
Volume,2973035.0
Volume 10-day Avg,5924647.0
Volume Past Day,(Light)
