,LANC
Price/Earnings (TTM),58.52557
Price/Sales (TTM),3.30854
Price/Book (MRQ),6.56249
Price/Cash Flow (TTM),39.74303
5yr Low,114.55
5yr High,214.0
5yr Avg Return,0.09298333333333333
EPS Growth 5yr,-0.0496124
Revenue Growth 5yr,0.0688224
Dividend Growth 5yr,0.07938010000000001
Short Int Current Month,799096.0
Short Int Prev Month,1251683.0
Short Int Pct of Float,0.0428293
Days to Cover,3.19696
Float,18.65195
Shares Outstanding,27.553
Institutions Holding Shares,366.0
% Held by Institutions,0.634799
FCF Growth 5yr,-0.44942383007153003
