,LLNW
Price/Earnings (TTM),
Price/Sales (TTM),1.05079
Price/Book (MRQ),1.12542
Price/Cash Flow (TTM),
5yr Low,0.792
5yr High,8.19
5yr Avg Return,-0.11821666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0528367
Dividend Growth 5yr,
Short Int Current Month,2557569.0
Short Int Prev Month,2810425.0
Short Int Pct of Float,0.0117258
Days to Cover,1.16738
Float,218.1084
Shares Outstanding,221.5848
Institutions Holding Shares,208.0
% Held by Institutions,0.716499
FCF Growth 5yr,0.40375914778106753
