,SOND
Price/Earnings (TTM),
Price/Sales (TTM),0.96099
Price/Book (MRQ),10.142
Price/Cash Flow (TTM),
5yr Low,0.901
5yr High,11.0
5yr Avg Return,-0.4153
Short Int Current Month,10167230.0
Short Int Prev Month,12309063.0
Short Int Pct of Float,0.0662674
Days to Cover,8.25941
Float,157.9538
Shares Outstanding,218.0585
Institutions Holding Shares,105.0
% Held by Institutions,0.5701350000000001
FCF Growth 5yr,0.14778577919540226
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
