,IAS
% Above Low,0.457
% Held by Institutions,0.9891
52-Wk Range,['6.63 - 23.91']
Annual Dividend $,
Annual Dividend %,
Ask,10.86
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,5.19
Bid Size,100.0
Closing Price,9.66
Day Change $,-0.23
Day Change %,-0.0233
Day High,9.81
Day Low,8.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.01
Ex-dividend Date,No dividend
Historical Volatility,0.653
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.89
Shares Outstanding,153.8M
Short Interest,0.0344
Today's Open,9.81
Volume,109345.0
Volume 10-day Avg,509907.0
Volume Past Day,(Light)
