,IAS
Price/Earnings (TTM),
Price/Sales (TTM),3.77742
Price/Book (MRQ),1.91278
Price/Cash Flow (TTM),27.56617
5yr Low,6.63
5yr High,29.68
5yr Avg Return,-0.27925
Short Int Current Month,2031557.0
Short Int Prev Month,2284291.0
Short Int Pct of Float,0.0344364
Days to Cover,3.88823
Float,153.679
Shares Outstanding,153.8284
Institutions Holding Shares,139.0
% Held by Institutions,0.989089
FCF Growth 5yr,0.46758738403951616
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
