,CUTR
% Above Low,0.3697
% Held by Institutions,1.216
52-Wk Range,['31.62 - 74.38']
Annual Dividend $,
Annual Dividend %,
Ask,49.28
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.7
Bid,33.2
Bid Size,500.0
Closing Price,43.31
Day Change $,0.59
Day Change %,0.0138
Day High,43.32
Day Low,42.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.2
Ex-dividend Date,No dividend
Historical Volatility,0.6709999999999999
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,849.1M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,42.72
Shares Outstanding,19.6M
Short Interest,0.19079999999999997
Today's Open,42.83
Volume,57536.0
Volume 10-day Avg,297076.0
Volume Past Day,(Light)
