,CUTR
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-3.235294117647059
Growth 1yr High Est,-1.8125
Growth 1yr Consensus Est,-2.5238970588235294
Growth 2yr Low Est,-1.4005417956656347
Growth 2yr High Est,-1.5985576923076923
Growth 2yr Consensus Est,-1.4995497439866634
Growth 5yr Low Est,-0.29642474398666346
Growth 5yr High Est,-0.33499313186813184
Growth 5yr Consensus Est,-0.3157089379273976
Growth 5yr Actual/Est,-2.0833390359163553
Growth 3yr Historic,-1.374074074074074
