,MPLN
% Above Low,0.09730000000000001
% Held by Institutions,0.9113
52-Wk Range,['1.41 - 6.19']
Annual Dividend $,
Annual Dividend %,
Ask,1.64
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,1.55
Bid Size,100.0
Closing Price,1.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.16
Ex-dividend Date,No dividend
Historical Volatility,0.752
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,997.0M
"P/E Ratio (TTM, GAAP)",9.71
Prev Close,1.55
Shares Outstanding,639.1M
Short Interest,0.0351
Today's Open,
Volume,1062587.0
Volume 10-day Avg,2334683.0
Volume Past Day,(Light)
