,MPLN
Price/Earnings (TTM),9.70935
Price/Sales (TTM),0.87137
Price/Book (MRQ),0.40649
Price/Cash Flow (TTM),1.94275
5yr Low,1.41
5yr High,12.93
5yr Avg Return,-0.4225666666666667
Short Int Current Month,18070830.0
Short Int Prev Month,21026778.0
Short Int Pct of Float,0.0351156
Days to Cover,5.67064
Float,600.1243
Shares Outstanding,639.1232
Institutions Holding Shares,173.0
% Held by Institutions,0.9113420000000001
FCF Growth 5yr,0.039718146553624045
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
