,MPLN
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.7647058823529411
Growth 1yr High Est,-0.47058823529411775
Growth 1yr Consensus Est,-0.6176470588235294
Growth 2yr Low Est,-1.3823529411764706
Growth 2yr High Est,-0.013071895424836555
Growth 2yr Consensus Est,-0.6977124183006536
Growth 5yr Low Est,-1.3823529411764706
Growth 5yr High Est,-0.013071895424836555
Growth 5yr Consensus Est,-0.6977124183006536
Growth 5yr Actual/Est,1.9583333333333333
Growth 3yr Historic,2.3333333333333335
