,LRCX
% Above Low,0.5129
% Held by Institutions,0.8423999999999999
52-Wk Range,['299.59 - 731.85']
Annual Dividend $,6.9
Annual Dividend %,0.0152
Ask,452.9
Ask Size,100.0
Ask close,481.8
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,421.2
Bid Size,300.0
Bid close,426.52
Change Since Close,-6.24| |(-1.38%)
Closing Price,453.25
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",34.87
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.537
Last (size),6.0
Last (time),1:00p ET 11/25/22
Last Trade,447.01
Market Cap,61.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.0
Prev Close,453.25
Shares Outstanding,136.4M
Short Interest,0.0258
Today's Open,
Volume,188.0
Volume 10-day Avg,1884269.0
Volume Past Day,(Light)
