,AMRK
% Below High,0.2311
% Held by Institutions,0.4932
52-Wk Range,['23.71 - 44.60']
Annual Dividend $,0.8
Annual Dividend %,0.0233
Ask,34.35
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,-0.2
Bid,32.5
Bid Size,300.0
Closing Price,34.29
Day Change $,0.41
Day Change %,0.0121
Day High,34.46
Day Low,33.5
Dividend Pay Date,2022-10-24 00:00:00
"EPS (TTM, GAAP)",6.19
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.557
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,804.2M
"P/E Ratio (TTM, GAAP)",5.54
Prev Close,33.88
Shares Outstanding,23.5M
Short Interest,0.0143
Today's Open,34.14
Volume,34068.0
Volume 10-day Avg,180312.0
Volume Past Day,(Light)
