,AMRK
Price/Earnings (TTM),5.54252
Price/Sales (TTM),0.09996
Price/Book (MRQ),1.59277
Price/Cash Flow (TTM),4.60889
5yr Low,3.74
5yr High,44.6
5yr Avg Return,0.5043166666666667
EPS Growth 5yr,0.6139115
Revenue Growth 5yr,0.031429
Dividend Growth 5yr,
Short Int Current Month,255225.0
Short Int Prev Month,415632.0
Short Int Pct of Float,0.0143216
Days to Cover,0.96473
Float,17.82097
Shares Outstanding,23.45334
Institutions Holding Shares,166.0
% Held by Institutions,0.493216
FCF Growth 5yr,-2.3177419246398685
