,AMRK
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.09879032258064524
Growth 1yr High Est,0.20475319926873858
Growth 1yr Consensus Est,0.1517717609246919
Growth 2yr Low Est,0.020037363125185004
Growth 2yr High Est,-0.008397300213885628
Growth 2yr Consensus Est,0.005820031455649688
Growth 5yr Low Est,0.020037363125185004
Growth 5yr High Est,-0.008397300213885628
Growth 5yr Consensus Est,0.005820031455649688
Growth 5yr Actual/Est,0.6465362261314641
Growth 3yr Historic,0.6584302325581395
