,RDNT
% Above Low,0.46549999999999997
% Held by Institutions,0.6686
52-Wk Range,['12.03 - 31.20']
Annual Dividend $,
Annual Dividend %,
Ask,17.65
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.5
Bid,17.61
Bid Size,300.0
Day Change $,0.03
Day Change %,0.0017000000000000001
Day High,18.17
Day Low,17.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.01
Ex-dividend Date,No dividend
Historical Volatility,0.507
Last (size),500.0
Last (time),12:27p ET 11/28/22
Market Cap,1.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,17.6
Price,17.63
Shares Outstanding,57.4M
Short Interest,0.023
Today's Open,17.47
Volume Past Day,(Light)
