,RDNT
Price/Earnings (TTM),
Price/Sales (TTM),0.73191
Price/Book (MRQ),3.2214
Price/Cash Flow (TTM),7.59712
5yr Low,5.81
5yr High,38.84
5yr Avg Return,0.18871666666666667
EPS Growth 5yr,0.1551412
Revenue Growth 5yr,0.0825482
Dividend Growth 5yr,
Short Int Current Month,1152367.0
Short Int Prev Month,1512473.0
Short Int Pct of Float,0.0229634
Days to Cover,2.61519
Float,50.08305
Shares Outstanding,57.36085
Institutions Holding Shares,213.0
% Held by Institutions,0.668583
FCF Growth 5yr,-2.486264071014336
