,BLI
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.16379310344827602
Growth 1yr High Est,0.05319148936170226
Growth 1yr Consensus Est,0.10849229640498914
Growth 2yr Low Est,0.03374840357598985
Growth 2yr High Est,-0.19562647754137108
Growth 2yr Consensus Est,-0.08093903698269062
Growth 5yr Low Est,0.03374840357598985
Growth 5yr High Est,-0.19562647754137108
Growth 5yr Consensus Est,-0.08093903698269062
Growth 5yr Actual/Est,-0.10934504428977143
Growth 3yr Historic,-0.07434052757793763
