,BLI
% Above Low,0.5288
% Held by Institutions,0.6973999999999999
52-Wk Range,['1.83 - 21.69']
Annual Dividend $,
Annual Dividend %,
Ask,3.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,2.67
Bid Size,100.0
Closing Price,2.79
Day Change $,0.05
Day Change %,0.0182
Day High,2.82
Day Low,2.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,1.119
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,192.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.74
Shares Outstanding,68.6M
Short Interest,0.0395
Today's Open,2.72
Volume,95301.0
Volume 10-day Avg,775244.0
Volume Past Day,(Light)
