,THC
Price/Earnings (TTM),9.06796
Price/Sales (TTM),0.26151
Price/Book (MRQ),4.02514
Price/Cash Flow (TTM),2.52105
5yr Low,10.0
5yr High,92.65
5yr Avg Return,0.35451666666666676
EPS Growth 5yr,
Revenue Growth 5yr,-0.0013901
Dividend Growth 5yr,
Short Int Current Month,4030616.0
Short Int Prev Month,4346952.0
Short Int Pct of Float,0.0379073
Days to Cover,1.71144
Float,106.5775
Shares Outstanding,108.1232
Institutions Holding Shares,482.0
% Held by Institutions,0.98443
FCF Growth 5yr,0.7927216618997441
