,THC
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,1.7860465116279074
Growth 1yr High Est,1.1827586206896554
Growth 1yr Consensus Est,1.4844025661587814
Growth 2yr Low Est,0.7811701673331524
Growth 2yr High Est,0.6356131176118103
Growth 2yr Consensus Est,0.7083916424724813
Growth 5yr Low Est,0.3905850836665762
Growth 5yr High Est,0.31780655880590514
Growth 5yr Consensus Est,0.35419582123624066
Growth 5yr Actual/Est,0.41673659501453
Growth 3yr Historic,0.47807364691693044
