,THC
% Above Low,0.21170000000000003
% Held by Institutions,0.9843999999999999
52-Wk Range,['36.69 - 92.65']
Annual Dividend $,
Annual Dividend %,
Ask,44.65
Ask Size,2100.0
B/A Ratio,0.23809523809523808
B/A Size,500x2100
Beta,2.2
Bid,43.0
Bid Size,500.0
Change Since Close,0.00| |(0.00%)
Closing Price,44.46
Day Change $,-1.59
Day Change %,-0.0345
Day High,45.59
Day Low,43.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.08
Ex-dividend Date,No dividend
Historical Volatility,0.653
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,4.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.07
Prev Close,46.05
Shares Outstanding,108.1M
Short Interest,0.0379
Today's Open,45.5
Volume,969628.0
Volume 10-day Avg,1597321.0
Volume Past Day,(Light)
