,WSFS
Price/Earnings (TTM),14.3453
Price/Sales (TTM),3.60713
Price/Book (MRQ),1.41179
Price/Cash Flow (TTM),12.44283
5yr Low,17.84
5yr High,57.7
5yr Avg Return,-0.004866666666666671
EPS Growth 5yr,0.2251652
Revenue Growth 5yr,0.1607545
Dividend Growth 5yr,0.1532568
Short Int Current Month,1317335.0
Short Int Prev Month,1246124.0
Short Int Pct of Float,0.021615799999999998
Days to Cover,5.46837
Float,60.943
Shares Outstanding,61.5868
Institutions Holding Shares,316.0
% Held by Institutions,0.89945
FCF Growth 5yr,1.1216297157160735
