,WSFS
% Below High,0.1604
% Held by Institutions,0.8995000000000001
52-Wk Range,['37.03 - 56.30']
Annual Dividend $,0.6
Annual Dividend %,0.0125
Ask,47.66
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,47.01
Bid Size,100.0
Closing Price,47.27
Day Change $,-0.67
Day Change %,-0.013999999999999999
Day High,47.57
Day Low,46.81
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",3.34
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.307
Last (size),3.0
Last (time),3:59p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.35
Prev Close,47.94
Shares Outstanding,61.6M
Short Interest,0.0216
Today's Open,47.36
Volume,194837.0
Volume 10-day Avg,218948.0
Volume Past Day,(Below Average)
