,ENVA
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.8951841359773374
Growth 1yr High Est,0.6288416075650116
Growth 1yr Consensus Est,0.7620128717711745
Growth 2yr Low Est,0.46552928771961033
Growth 2yr High Est,0.3855383654661053
Growth 2yr Consensus Est,0.4255338265928578
Growth 5yr Low Est,0.23276464385980516
Growth 5yr High Est,0.19276918273305266
Growth 5yr Consensus Est,0.2127669132964289
Growth 5yr Actual/Est,0.19861208533439745
Growth 3yr Historic,0.20552787230594716
