,ENVA
% Below High,0.1761
% Held by Institutions,0.9362
52-Wk Range,['25.80 - 47.88']
Annual Dividend $,
Annual Dividend %,
Ask,42.0
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.5
Bid,25.0
Bid Size,100.0
Closing Price,39.45
Day Change $,0.35
Day Change %,0.009000000000000001
Day High,39.78
Day Low,38.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.94
Ex-dividend Date,No dividend
Historical Volatility,0.465
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.64
Prev Close,39.1
Shares Outstanding,31.5M
Short Interest,0.0553
Today's Open,38.95
Volume,63376.0
Volume 10-day Avg,166588.0
Volume Past Day,(Light)
