,ENVA
Price/Earnings (TTM),6.64091
Price/Sales (TTM),1.12029
Price/Book (MRQ),1.08855
Price/Cash Flow (TTM),5.04444
5yr Low,7.84
5yr High,47.88
5yr Avg Return,0.19715
EPS Growth 5yr,0.4570916
Revenue Growth 5yr,0.0655761
Dividend Growth 5yr,
Short Int Current Month,1685192.0
Short Int Prev Month,1840434.0
Short Int Pct of Float,0.055297599999999995
Days to Cover,7.44741
Float,30.44445
Shares Outstanding,31.45992
Institutions Holding Shares,266.0
% Held by Institutions,0.936247
FCF Growth 5yr,0.49754263285468453
