,CADE
% Below High,0.156
% Held by Institutions,0.7498
52-Wk Range,['22.04 - 34.24']
Annual Dividend $,0.88
Annual Dividend %,0.0304
Ask,40.0
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,25.9
Bid Size,1000.0
Closing Price,28.9
Day Change $,0.05
Day Change %,0.0017000000000000001
Day High,29.08
Day Low,28.79
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.71
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.32799999999999996
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.85
Prev Close,28.85
Shares Outstanding,182.4M
Short Interest,0.0391
Today's Open,29.08
Volume,358242.0
Volume 10-day Avg,874490.0
Volume Past Day,(Light)
