,CADE
Price/Earnings (TTM),16.85406
Price/Sales (TTM),3.02129
Price/Book (MRQ),1.31814
Price/Cash Flow (TTM),36.09922
5yr Low,17.21
5yr High,35.59
5yr Avg Return,-0.00895
EPS Growth 5yr,0.0183187
Revenue Growth 5yr,0.12791650000000002
Dividend Growth 5yr,0.1262125
Short Int Current Month,6059554.0
Short Int Prev Month,6289660.0
Short Int Pct of Float,0.0391024
Days to Cover,6.48828
Float,182.4447
Shares Outstanding,182.4447
Institutions Holding Shares,394.0
% Held by Institutions,0.749814
FCF Growth 5yr,-0.10852459538131227
