,EBAY
% Above Low,0.2539
% Held by Institutions,0.8798999999999999
52-Wk Range,['35.92 - 73.60']
Annual Dividend $,0.88
Annual Dividend %,0.0195
Ask,45.2
Ask Size,900.0
B/A Ratio,1.1111111111111112
B/A Size,1000x900
Beta,1.3
Bid,44.82
Bid Size,1000.0
Closing Price,45.04
Day Change $,-0.19
Day Change %,-0.0042
Day High,45.21
Day Low,44.56
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",-4.84
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.37700000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,24.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,45.23
Shares Outstanding,542.7M
Short Interest,0.033
Today's Open,44.67
Volume,2329792.0
Volume 10-day Avg,5096596.0
Volume Past Day,(Light)
