,EBAY
Price/Earnings (TTM),
Price/Sales (TTM),2.46932
Price/Book (MRQ),5.04879
Price/Cash Flow (TTM),
5yr Low,26.01
5yr High,81.19
5yr Avg Return,0.07755
EPS Growth 5yr,-0.4309158
Revenue Growth 5yr,0.0230471
Dividend Growth 5yr,
Short Int Current Month,17869039.0
Short Int Prev Month,15730564.0
Short Int Pct of Float,0.0330226
Days to Cover,2.43416
Float,541.5474
Shares Outstanding,542.6591
Institutions Holding Shares,1282.0
% Held by Institutions,0.879926
FCF Growth 5yr,0.1431122385276343
