,WTTR
% Below High,0.22719999999999999
% Held by Institutions,0.6313
52-Wk Range,['5.54 - 10.43']
Annual Dividend $,0.2
Annual Dividend %,0.024900000000000002
Ask,11.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.2
Bid,7.56
Bid Size,100.0
Closing Price,8.06
Day Change $,0.03
Day Change %,0.0037
Day High,8.22
Day Low,7.74
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",0.46
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.611
Last (size),550.0
Last (time),7:00p ET 11/28/22
Market Cap,920.9M
"P/E Ratio (TTM, GAAP)",17.65
Prev Close,8.03
Shares Outstanding,114.3M
Short Interest,0.016200000000000003
Today's Open,7.81
Volume,577413.0
Volume 10-day Avg,528690.0
Volume Past Day,(Average)
