,WTTR
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-1.9545454545454546
Growth 1yr High Est,-1.9692307692307693
Growth 1yr Consensus Est,-1.961888111888112
Growth 2yr Low Est,-0.6756854256854257
Growth 2yr High Est,-0.6354090354090354
Growth 2yr Consensus Est,-0.6555472305472305
Growth 5yr Low Est,-0.6756854256854257
Growth 5yr High Est,-0.6354090354090354
Growth 5yr Consensus Est,-0.6555472305472305
Growth 5yr Actual/Est,-33.942872333187886
Growth 3yr Historic,-33.62395309882747
