,ADNT
% Below High,0.23
% Held by Institutions,0.9702
52-Wk Range,['27.15 - 50.96']
Annual Dividend $,
Annual Dividend %,
Ask,45.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,2.7
Bid,35.0
Bid Size,500.0
Closing Price,39.24
Day Change $,-0.04
Day Change %,-0.001
Day High,39.38
Day Low,38.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,0.65
Last (size),45.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,39.28
Shares Outstanding,94.9M
Short Interest,0.0417
Today's Open,39.17
Volume,405232.0
Volume 10-day Avg,736456.0
Volume Past Day,(Light)
