,ADNT
Price/Earnings (TTM),
Price/Sales (TTM),0.2636
Price/Book (MRQ),1.79558
Price/Cash Flow (TTM),12.00721
5yr Low,5.9
5yr High,84.59
5yr Avg Return,0.06563333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0272518
Dividend Growth 5yr,
Short Int Current Month,3917138.0
Short Int Prev Month,3895432.0
Short Int Pct of Float,0.0417038
Days to Cover,4.11338
Float,94.18223
Shares Outstanding,94.85816
Institutions Holding Shares,327.0
% Held by Institutions,0.970155
FCF Growth 5yr,-0.22785486020780135
