,ADNT
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.4912280701754388
Growth 2yr High Est,0.6866840731070496
Growth 2yr Consensus Est,0.5889560716412442
Growth 5yr Low Est,0.4912280701754388
Growth 5yr High Est,0.6866840731070496
Growth 5yr Consensus Est,0.5889560716412442
Growth 5yr Actual/Est,-7.9997259400435645
Growth 3yr Historic,-13.486778846153847
