,WRK
% Above Low,0.2041
% Held by Institutions,0.8753
52-Wk Range,['30.08 - 54.78']
Annual Dividend $,1.1
Annual Dividend %,0.029300000000000003
Ask,47.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,31.96
Bid Size,300.0
Closing Price,36.22
Day Change $,-1.29
Day Change %,-0.0344
Day High,37.21
Day Low,36.07
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",3.65
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.369
Last (size),13.0
Last (time),7:00p ET 11/28/22
Market Cap,9.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.29
Prev Close,37.51
Shares Outstanding,254.5M
Short Interest,0.0151
Today's Open,37.04
Volume,1657236.0
Volume 10-day Avg,1959023.0
Volume Past Day,(Below Average)
