,CERS
% Above Low,0.1877
% Held by Institutions,0.7948000000000001
52-Wk Range,['3.25 - 7.20']
Annual Dividend $,
Annual Dividend %,
Ask,4.07
Ask Size,17700.0
B/A Ratio,0.4350282485875706
B/A Size,7700x17700
Beta,1.1
Bid,3.01
Bid Size,7700.0
Closing Price,3.86
Day Change $,-0.05
Day Change %,-0.0128
Day High,3.92
Day Low,3.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.22
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),82.0
Last (time),12:59p ET 11/25/22
Market Cap,683.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,3.91
Shares Outstanding,177.4M
Short Interest,0.0362
Today's Open,3.91
Volume,379891.0
Volume 10-day Avg,956475.0
Volume Past Day,(Light)
