,CERS
Price/Earnings (TTM),
Price/Sales (TTM),3.66067
Price/Book (MRQ),9.36509
Price/Cash Flow (TTM),
5yr Low,2.71
5yr High,8.87
5yr Avg Return,0.06405000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.323545
Dividend Growth 5yr,
Short Int Current Month,6210834.0
Short Int Prev Month,6640648.0
Short Int Pct of Float,0.036220300000000004
Days to Cover,4.833
Float,171.7181
Shares Outstanding,177.4209
Institutions Holding Shares,232.0
% Held by Institutions,0.79484
FCF Growth 5yr,-0.08049306425954401
