,MCW
Price/Earnings (TTM),23.12321
Price/Sales (TTM),3.40503
Price/Book (MRQ),3.74313
Price/Cash Flow (TTM),15.23748
5yr Low,7.8
5yr High,24.49
5yr Avg Return,-0.259
EPS Growth 5yr,
Revenue Growth 5yr,0.15807090000000001
Dividend Growth 5yr,
Short Int Current Month,18436858.0
Short Int Prev Month,20131987.0
Short Int Pct of Float,0.22500979999999998
Days to Cover,8.08607
Float,301.1169
Shares Outstanding,304.9926
Institutions Holding Shares,171.0
% Held by Institutions,1.055595
FCF Growth 5yr,0.046434482694850544
