,MGY
Price/Earnings (TTM),5.93698
Price/Sales (TTM),3.32815
Price/Book (MRQ),4.40354
Price/Cash Flow (TTM),4.58658
5yr Low,3.23
5yr High,30.31
5yr Avg Return,0.30584999999999996
Short Int Current Month,11742540.0
Short Int Prev Month,15611356.0
Short Int Pct of Float,0.0691636
Days to Cover,4.39215
Float,25.63229
Shares Outstanding,216.1989
Institutions Holding Shares,389.0
% Held by Institutions,1.044016
FCF Growth 5yr,0.5492461572761222
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
