,MGY
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.9374999999999998
Growth 1yr High Est,0.9280000000000002
Growth 1yr Consensus Est,0.93275
Growth 2yr Low Est,0.25100806451612895
Growth 2yr High Est,0.5044564315352698
Growth 2yr Consensus Est,0.3777322480256994
Growth 5yr Low Est,-12.61043906810036
Growth 5yr High Est,8.336304287690181
Growth 5yr Consensus Est,-2.1370673902050896
Growth 5yr Actual/Est,-30.582926253976275
Growth 3yr Historic,-30.767857142857142
