,MGY
% Below High,0.1458
% Held by Institutions,1.044
52-Wk Range,['17.23 - 30.31']
Annual Dividend $,0.2
Annual Dividend %,0.0077
Ask,25.44
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.1
Bid,24.58
Bid Size,100.0
Closing Price,25.89
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.54
Last (size),200.0
Last (time),5:00p ET 11/25/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",5.94
Prev Close,25.89
Shares Outstanding,199.9M
Short Interest,0.0692
Today's Open,
Volume,555263.0
Volume 10-day Avg,1510035.0
Volume Past Day,(Light)
