,PDCE
% Below High,0.1793
% Held by Institutions,0.9758
52-Wk Range,['44.00 - 89.22']
Annual Dividend $,1.4
Annual Dividend %,0.018600000000000002
Ask,73.35
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.5
Bid,73.15
Bid Size,200.0
Day Change $,-2.19
Day Change %,-0.028999999999999998
Day High,73.59
Day Low,71.34
Dividend Pay Date,2022-09-22 00:00:00
"EPS (TTM, GAAP)",19.49
Ex-dividend,2022-09-07 00:00:00
Ex-dividend Date,09/07/22
Historical Volatility,0.5820000000000001
Last (size),100.0
Last (time),10:22a ET 11/28/22
Market Cap,6.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.87
Prev Close,75.41
Price,73.22
Shares Outstanding,92.1M
Short Interest,0.050300000000000004
Today's Open,72.17
Volume Past Day,(Average)
