,BSIG
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.11904761904761907
Growth 1yr High Est,-0.02298850574712641
Growth 1yr Consensus Est,-0.07101806239737274
Growth 2yr Low Est,-0.13046975546975548
Growth 2yr High Est,-0.02325895875591616
Growth 2yr Consensus Est,-0.07686435711283582
Growth 5yr Low Est,-0.06523487773487774
Growth 5yr High Est,-0.008722502633772028
Growth 5yr Consensus Est,-0.03697869018432488
Growth 5yr Actual/Est,-0.04156552168890154
Growth 3yr Historic,-0.034253430185633565
