,BSIG
Price/Earnings (TTM),9.07035
Price/Sales (TTM),1.79812
Price/Book (MRQ),
Price/Cash Flow (TTM),6.20726
5yr Low,3.61
5yr High,31.17
5yr Avg Return,0.1163666666666667
EPS Growth 5yr,0.09594939999999999
Revenue Growth 5yr,-0.046183300000000004
Dividend Growth 5yr,-0.340246
Short Int Current Month,1414896.0
Short Int Prev Month,2029794.0
Short Int Pct of Float,0.0343723
Days to Cover,5.25525
Float,41.1638
Shares Outstanding,41.43386
Institutions Holding Shares,217.0
% Held by Institutions,1.056348
FCF Growth 5yr,-0.4276094276094276
