,BSIG
% Above Low,0.34759999999999996
% Held by Institutions,1.0563
52-Wk Range,['14.73 - 31.17']
Annual Dividend $,0.04
Annual Dividend %,0.002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,7.96
Bid Size,
Closing Price,19.85
Day Change $,0.11
Day Change %,0.005600000000000001
Day High,20.01
Day Low,19.65
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",2.19
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.41100000000000003
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,824.5M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.07
Prev Close,19.74
Shares Outstanding,41.4M
Short Interest,0.0344
Today's Open,19.69
Volume,52786.0
Volume 10-day Avg,155111.0
Volume Past Day,(Light)
