,BURL
Price/Earnings (TTM),79.47223
Price/Sales (TTM),1.49599
Price/Book (MRQ),20.06582
Price/Cash Flow (TTM),29.49078
5yr Low,101.4
5yr High,357.34
5yr Avg Return,0.14828333333333332
EPS Growth 5yr,0.1479884
Revenue Growth 5yr,0.1076616
Dividend Growth 5yr,
Short Int Current Month,4643990.0
Short Int Prev Month,4980455.0
Short Int Pct of Float,0.0714948
Days to Cover,3.31625
Float,64.95854
Shares Outstanding,65.19127
Institutions Holding Shares,569.0
% Held by Institutions,1.088394
FCF Growth 5yr,-0.4579035872031773
