,BURL
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4713896457765667
Growth 1yr High Est,-0.43918918918918914
Growth 1yr Consensus Est,-0.45528941748287793
Growth 2yr Low Est,-0.14162265793982964
Growth 2yr High Est,0.25751383914034504
Growth 2yr Consensus Est,0.057945590600257696
Growth 5yr Low Est,-0.07081132896991482
Growth 5yr High Est,0.12875691957017252
Growth 5yr Consensus Est,0.028972795300128848
Growth 5yr Actual/Est,-1.3845626659801784
Growth 3yr Historic,-1.404800537710634
