,BURL
% Above Low,0.8465
% Held by Institutions,1.0884
52-Wk Range,['106.47 - 304.18']
Annual Dividend $,
Annual Dividend %,
Ask,200.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,196.33
Bid Size,200.0
Closing Price,196.6
Day Change $,0.9
Day Change %,0.0046
Day High,199.21
Day Low,195.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.47
Ex-dividend Date,No dividend
Historical Volatility,0.605
Last (size),44.0
Last (time),5:00p ET 11/25/22
Market Cap,12.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",79.47
Prev Close,195.7
Shares Outstanding,65.2M
Short Interest,0.07150000000000001
Today's Open,196.25
Volume,686230.0
Volume 10-day Avg,2105729.0
Volume Past Day,(Light)
