,ALBO
% Above Low,0.3739
% Held by Institutions,0.9608
52-Wk Range,['16.02 - 37.63']
Annual Dividend $,
Annual Dividend %,
Ask,23.0
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,0.8
Bid,22.01
Bid Size,300.0
Closing Price,22.01
Day Change $,-0.1
Day Change %,-0.0045000000000000005
Day High,22.65
Day Low,21.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.89
Ex-dividend Date,No dividend
Historical Volatility,0.775
Last (size),105.0
Last (time),12:59p ET 11/25/22
Market Cap,455.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,22.11
Shares Outstanding,20.7M
Short Interest,0.058600000000000006
Today's Open,21.88
Volume,38622.0
Volume 10-day Avg,139107.0
Volume Past Day,(Light)
