,ALBO
Price/Earnings (TTM),
Price/Sales (TTM),8.89513
Price/Book (MRQ),3.7954
Price/Cash Flow (TTM),
5yr Low,11.26
5yr High,49.0
5yr Avg Return,-0.005666666666666661
EPS Growth 5yr,
Revenue Growth 5yr,0.289894
Dividend Growth 5yr,
Short Int Current Month,1084999.0
Short Int Prev Month,1665619.0
Short Int Pct of Float,0.0585644
Days to Cover,4.61423
Float,18.65083
Shares Outstanding,20.70128
Institutions Holding Shares,159.0
% Held by Institutions,0.960766
FCF Growth 5yr,0.17257821150317934
