,HDSN
% Below High,0.011399999999999999
% Held by Institutions,0.6995
52-Wk Range,['3.11 - 11.42']
Annual Dividend $,
Annual Dividend %,
Ask,11.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,11.34
Bid Size,100.0
Closing Price,11.29
Day Change $,0.71
Day Change %,0.06709999999999999
Day High,11.42
Day Low,10.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.23
Ex-dividend Date,No dividend
Historical Volatility,0.765
Last (size),30.0
Last (time),1:00p ET 11/25/22
Market Cap,508.9M
"P/E Ratio (TTM, GAAP)",5.06
Prev Close,10.58
Shares Outstanding,45.1M
Short Interest,0.0292
Today's Open,10.7
Volume,521038.0
Volume 10-day Avg,398424.0
Volume Past Day,(Heavy Day)
