,HDSN
Price/Earnings (TTM),5.06367
Price/Sales (TTM),1.61273
Price/Book (MRQ),2.98287
Price/Cash Flow (TTM),4.5793
5yr Low,0.3029
5yr High,11.34
5yr Avg Return,0.6891666666666667
EPS Growth 5yr,0.1815569
Revenue Growth 5yr,0.1281403
Dividend Growth 5yr,
Short Int Current Month,1088999.0
Short Int Prev Month,1365985.0
Short Int Pct of Float,0.029192100000000002
Days to Cover,1.31693
Float,37.30452
Shares Outstanding,45.07591
Institutions Holding Shares,160.0
% Held by Institutions,0.699515
FCF Growth 5yr,1.240915829165204
