,BPMC
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-2.9471544715447155
Growth 1yr High Est,-2.385802469135802
Growth 1yr Consensus Est,-2.666478470340259
Growth 2yr Low Est,-1.3530135614508545
Growth 2yr High Est,-1.2435693860155626
Growth 2yr Consensus Est,-1.2982914737332085
Growth 5yr Low Est,-1.0710426209134414
Growth 5yr High Est,-1.138232061428834
Growth 5yr Consensus Est,-1.1046373411711377
Growth 5yr Actual/Est,-1.2156339877510813
Growth 3yr Historic,-1.1846254733718347
