,HTH
Price/Earnings (TTM),14.72732
Price/Sales (TTM),1.3781
Price/Book (MRQ),0.94099
Price/Cash Flow (TTM),10.3934
5yr Low,11.05
5yr High,39.6
5yr Avg Return,0.05896666666666668
EPS Growth 5yr,0.2554526
Revenue Growth 5yr,0.030543999999999998
Dividend Growth 5yr,0.3356042
Short Int Current Month,1998017.0
Short Int Prev Month,2195735.0
Short Int Pct of Float,0.0441804
Days to Cover,5.78103
Float,45.4255
Shares Outstanding,64.59149
Institutions Holding Shares,247.0
% Held by Institutions,0.569122
FCF Growth 5yr,0.3639933497502678
