,HTH
% Above Low,0.2242
% Held by Institutions,0.5690999999999999
52-Wk Range,['24.18 - 38.23']
Annual Dividend $,0.6
Annual Dividend %,0.0203
Ask,31.75
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,11.86
Bid Size,200.0
Closing Price,29.6
Day Change $,-0.16
Day Change %,-0.0054
Day High,29.88
Day Low,29.59
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.01
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.375
Last (size),24.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.73
Prev Close,29.76
Shares Outstanding,64.6M
Short Interest,0.044199999999999996
Today's Open,29.71
Volume,159163.0
Volume 10-day Avg,342042.0
Volume Past Day,(Light)
